iso_3,Country,Business Legal Tax Liability,Taxes Remitted by Business,Non-Business Tax Collections,Unallocated,TL_SS,TL_income,TL_excise
AUS,Australia,0.379326695,0.490689357,0.014498276,0.115485672,0.0455607,0.249456927,0.036678514
AUT,Austria,0.419337722,0.482455321,0.078417971,0.015711674,0.157130654,0.102222804,0.039906471
BEL,Belgium,0.372514373,0.464068878,0.116655885,0.046760865,0.130337322,0.101930204,0.044144027
BGR,Bulgaria,0.46108217,0.452605281,0.069786225,0.016526343,0.125200019,0.093826282,0.107597036
CAN,Canada,0.325061762,0.493816037,0.06209323,0.119028971,0.086943271,0.158083259,0.033198604
CHE,Switzerland,0.322061549,0.508114387,0.105744475,0.064079585,0.09262054,0.124408384,0.039106582
CHL,Chile,0.384889941,0.557095098,0.030257781,0.027757179,0.002396683,0.253106762,0.065846939
COL,Colombia,0.4180809,0.386525597,0.021067608,0.174325895,0.012015274,0.323134599,0.051464072
CRI,Costa Rica,0.317696943,0.248283136,0.011980575,0.422039346,0.08980878,0.106111587,0.085333101
CZE,Czechia,0.546530732,0.38499709,0.061543074,0.006929103,0.158321846,0.140561432,0.061628621
DEU,Germany,0.409285926,0.528750758,0.050150442,0.011812873,0.133857074,0.121697681,0.042018821
DNK,Denmark,0.150528817,0.621809773,0.172145569,0.05551584,0.005410664,0.087196198,0.046570362
ESP,Spain,0.478917511,0.397501862,0.091089375,0.032485755,0.182484688,0.143549597,0.045663205
EST,Estonia,0.436300725,0.42335684,0.131552397,0.008790116,0.232257606,0.056030622,0.079264781
FIN,Finland,0.347480664,0.510764678,0.134247331,0.007507327,0.127772634,0.084670408,0.063949403
FRA,France,0.425744632,0.41654336,0.138813522,0.018898486,0.200715142,0.061631843,0.045138808
GBR,United Kingdom,0.323970556,0.534522577,0.11593916,0.025567708,0.09972202,0.100732191,0.049117549
GRC,Greece,0.376173738,0.48333514,0.068890591,0.071600531,0.12030489,0.06020927,0.091564595
HRV,Croatia,0.371604284,0.524165305,0.092640288,0.011590163,0.09682731,0.086837558,0.103621316
HUN,Hungary,0.296890471,0.626652132,0.044008274,0.030365898,0.113229861,0.064614451,0.056282621
IRL,Ireland,0.423868684,0.461892681,0.068480369,0.045758275,0.086939921,0.257743602,0.051467195
ISL,Iceland,0.165947647,0.52994286,0.1065841,0.197525393,0.00573772,0.094011324,0.056634924
ISR,Israel,0.3583233,0.513814605,0.038432171,0.089429924,0.041535875,0.120132886,0.079761439
ITA,Italy,0.432958217,0.372327442,0.137826521,0.054908997,0.110840766,0.098071105,0.050196979
JPN,Japan,0.390457369,0.486145073,0.040723309,0.082674249,0.130581381,0.137013423,0.03871334
KOR,Korea,0.348304644,0.454028172,0.061463956,0.136203228,0.098586328,0.143950889,0.046158949
LTU,Lithuania,0.247715244,0.735185932,0.011951584,0.00514724,-0.024744444,0.08139976,0.073984064
LUX,Luxembourg,0.435669625,0.487285762,0.066000956,0.011043657,0.06717555,0.150279704,0.061971427
LVA,Latvia,0.365501368,0.557631765,0.068981045,0.007885821,0.181967047,0.04184406,0.090207138
MEX,Mexico,0.374812627,0.422171547,0.003169068,0.199847168,0.030225386,0.248125603,0.082291192
MLT,Malta,0.359270449,0.566594708,0.035383769,0.038751074,0.063401946,0.161905919,0.053012697
NLD,Netherlands,0.406482871,0.487238153,0.08745119,0.018827786,0.044739964,0.126890619,0.054586963
NOR,Norway,0.461396719,0.368935376,0.162112597,0.007555308,0.077936332,0.304674225,0.033765431
NZL,New Zealand,0.226893462,0.647997506,0.037998363,0.087110668,0,0.182451787,0.007112092
POL,Poland,0.529772159,0.382331303,0.038108068,0.04978847,0.064077347,0.156851765,0.096620702
PRT,Portugal,0.388485744,0.366721704,0.063600075,0.181095449,0.153633904,0.117201969,0.060696708
ROU,Romania,0.277440641,0.622509805,0.088963774,0.011085779,0.024591085,0.114080574,0.091288371
SVK,Slovak Republic,0.504261322,0.398856032,0.077379236,0.01950341,0.12907947,0.099834759,0.069309673
SVN,Slovenia,0.39839493,0.536725712,0.058733911,0.00614549,0.086235182,0.070713327,0.077359592
SWE,Sweden,0.3753438,0.451610306,0.165598153,0.007447741,0.205022867,0.097460184,0.050281348
TUR,Turkey,0.39471284,0.326895175,0.209115074,0.069276911,0.049668423,0.127585341,0.150606194
USA,United States,0.305567907,0.516329247,0.044084449,0.134018395,0.098245843,0.133043145,0.024859306
NA,All Countries Average,0.3746,0.4816,0.0653,0.0782,0.0938,0.133,0.0616
NA,OECD Average,0.3754,0.4754,0.0702,0.0789,0.0955,0.135,0.0588
NA,EU 27 Average,0.3938,0.4902,0.0305,0.0853,0.1145,0.1069,0.0657
NA,Europe Average,0.3841,0.4843,0.0373,0.0941,0.1065,0.1139,0.0657
